Name,Party,Year,State,District,Incumbent,Winner,Raised,Spent,Cash on Hand,Individual Contributions,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Ed Markey,D,2012,MA,05,True,True,1091666,1110492,3050589,,11867,474665,434228,0,170906,468365,2500,2500
Tom Tierney,R,2012,MA,05,False,False,15560,15628,52,,210,0,1000,13100,1250,0,0,0
John F Tierney,D,2012,MA,06,True,True,2133196,2299261,22170,,228477,1083158,801942,0,19620,972919,8251,28050
Richard Tisei,R,2012,MA,06,False,False,2353475,2352537,937,,273963,1682795,340126,0,56590,1733197,11950,156804
Daniel Fishman,L,2012,MA,06,False,False,8291,6673,50,,734,500,0,6057,1000,500,0,0
Michael E Capuano,D,2012,MA,07,True,True,909487,595432,482483,,61463,369095,471500,0,7429,339540,500,23000
Stephen F Lynch,D,2012,MA,08,True,True,729836,642217,760206,,38377,212399,464175,0,14886,203374,250,7150
Joe Selvaggi,R,2012,MA,08,False,False,34805,34803,1756,,7631,23025,0,847,10249,22025,0,1000
Bill Keating,D,2012,MA,09,True,True,1061105,816180,248278,,77594,443247,539332,0,932,346205,2500,26400
Christopher Sheldon,R,2012,MA,09,False,False,62816,62797,19,,13184,39259,600,6688,3085,18486,750,16327
Daniel Botelho,I,2012,MA,09,False,False,12118,11922,195,,1275,2260,0,8583,0,2260,0,0
Debbie Stabenow,D,2012,MI,S2,True,True,14376142,13434824,1114269,,1955840,7184498,3846834,0,624179,5859348,19150,100297
Peter Hoekstra,R,2012,MI,S2,False,False,5840334,5646406,187462,,1538852,3877047,416899,0,7533,3264202,58550,303060
Scotty Boman,L,2012,MI,S2,False,False,10280,10277,0,,3782,5483,0,14,1000,3950,500,0
Dan Benishek,R,2012,MI,01,True,True,2221760,2128930,88652,,224694,805480,1110997,0,80589,718076,3700,4000
Gary J McDowell,D,2012,MI,01,False,False,1497052,1487186,9065,,249122,704630,516109,0,27191,546624,1650,7750
Bill Huizenga,R,2012,MI,02,True,True,1066724,977483,143407,,33064,390529,639307,0,3824,389302,1750,4750
Justin Amash,R,2012,MI,03,True,True,1313803,1193611,77844,,204004,906704,184550,0,18545,880285,7700,10625
Steve Pestka,D,2012,MI,03,False,False,2078543,2076680,1863,,74818,254124,132550,1611348,5703,213202,3500,550
Dave Camp,R,2012,MI,04,True,True,4476145,3299098,2653090,,48555,1233375,3172194,0,22020,1160380,4525,8283
Debra Freidell Wirth,D,2012,MI,04,False,False,37734,37631,0,,2645,1750,5000,25889,2450,1750,0,0
Dan Kildee,D,2012,MI,05,False,True,721598,579339,142259,,0,364631,356939,0,28,189672,750,1000
James Slezak,R,2012,MI,05,False,False,57221,56950,296,,5167,46554,500,5000,0,42714,2500,0
Fred Upton,R,2012,MI,06,True,True,4129538,4724798,70588,,116963,1200695,2677981,0,133900,1147191,500,0
Mike O'Brien,D,2012,MI,06,False,False,293987,292383,1602,,89947,176721,22797,1161,3361,94054,0,750
Tim Walberg,R,2012,MI,07,True,True,1533550,1309735,276103,,146689,830558,523426,0,32876,938751,3250,0
Kurt Haskell,D,2012,MI,07,False,False,101252,101252,0,,14632,3095,7000,71025,5500,2595,250,0
Mike Rogers,R,2012,MI,08,True,True,1921587,1726144,1284379,,122074,563624,1218707,0,17182,528658,16000,1050
Lance Enderle,D,2012,MI,08,False,False,57811,57710,161,,23221,2600,5069,19171,7750,1550,1050,0
Leon Brooks Jr,I,2012,MI,08,False,False,20652,21502,38,,2330,1330,0,18322,100,0,0,0
Sander Levin,D,2012,MI,09,True,True,1836756,1649665,238138,,75914,479306,1276318,0,5219,416185,250,23000
Donald Cecil Volaric,R,2012,MI,09,False,False,54077,55314,3554,,15249,38603,0,225,0,23250,0,500
Candice S Miller,R,2012,MI,10,True,True,674170,801503,773969,,57839,164275,448450,0,3607,137750,0,6150
Syed Taj,D,2012,MI,11,False,False,684821,677582,7238,,104978,437538,101947,38730,1628,415951,7050,250
Kerry Bentivolio,R,2012,MI,11,False,True,485729,482219,3510,,58598,144564,221277,41115,20175,131666,750,8500
Daniel Johnson,3,2012,MI,11,False,False,11774,11774,0,,0,0,0,11774,-11774,0,0,0
John D Dingell,D,2012,MI,12,True,True,1444696,1090721,387065,,23274,337969,1046146,0,37307,326816,0,2250
Cynthia Kallgren,R,2012,MI,12,False,False,21630,21781,299,,11329,7239,0,2834,227,5807,0,0
John Conyers Jr.,D,2012,MI,13,True,True,1044468,990585,63323,,57269,350839,631777,0,4583,307986,0,3439
Gary Peters,D,2012,MI,14,True,True,2281359,1887340,486739,,144702,1054151,1048661,0,33845,971170,31200,5200
Amy Klobuchar,D,2012,MN,S2,True,True,10203513,8532377,1784380,,1506340,4555233,2776697,0,688543,4842388,16955,81983
Kurt Bills,R,2012,MN,S2,False,False,953146,955342,273,,353417,519918,76450,2500,859,504226,14750,66150
Tim Walz,D,2012,MN,01,True,True,1975606,1930831,63237,,349956,787174,780173,0,58303,680055,5000,550
Allen Quist,R,2012,MN,01,False,False,595215,595312,0,,31867,69348,14600,475000,4400,66160,1000,0
Randy Demmer,3,2012,MN,01,False,False,4682,4631,415,,855,750,0,2000,1077,750,0,0
John Kline,R,2012,MN,02,True,True,2352676,1957356,565590,,159858,1070917,1048750,0,73152,1170460,11200,0
Mike Obermueller,D,2012,MN,02,False,False,717173,705166,12007,,164667,293325,218076,32500,8605,254862,0,1950
Erik Paulsen,R,2012,MN,03,True,True,3113793,2567483,693846,,188347,1714053,1200883,0,10511,1732036,36775,60150
Brian Barnes,D,2012,MN,03,False,False,400435,397940,2494,,93880,248981,36574,15000,6000,211712,2490,700
Betty McCollum,D,2012,MN,04,True,True,931990,942684,48014,,137064,352628,441025,0,1273,251286,2000,1500
Tony Hernandez,R,2012,MN,04,False,False,66697,68016,15,,34495,17059,2600,92,12450,21478,0,250
Keith Ellison,D,2012,MN,05,True,True,2053544,2160554,56570,,612702,1049772,378450,0,12620,907911,12400,13900
Chris Fields,R,2012,MN,05,False,False,365441,357683,7758,,184587,141700,13375,4302,21477,132608,1500,11125
Lynne Torgerson,I,2012,MN,05,False,False,50470,50613,1012,,8230,18261,0,23090,889,14332,0,465
Michele Bachmann,R,2012,MN,06,True,True,14995937,11946232,2070568,,9549842,4824626,251440,0,439826,4919462,45708,199773
Jim Graves,D,2012,MN,06,False,False,2309982,2279384,30598,,1000175,933717,124815,250000,1275,473593,3520,14890
Collin Peterson,D,2012,MN,07,True,True,1129343,1497202,34417,,63817,156020,896441,0,13065,125668,0,250
Lee Byberg,R,2012,MN,07,False,False,583839,601966,-681,,98338,414127,14050,33319,24004,359950,22800,37310
Chip Cravaack,R,2012,MN,08,True,False,2374760,2377366,26314,,518478,1055334,768550,0,32397,971266,500,57142
Rick Nolan,D,2012,MN,08,False,True,1256440,1230233,26208,,250412,573524,421254,0,11250,474578,4950,7850
Roger Wicker,R,2012,MS,S2,True,True,10415146,8646288,2300004,,362610,5279545,3832573,0,800431,5638755,88050,191535
Tom Cramer,3,2012,MS,S2,False,False,3130,2595,171,,830,1100,0,1200,0,250,420,205
Alan Nunnelee,R,2012,MS,01,True,True,1467760,1432932,157091,,42781,902495,522304,0,180,882800,4000,6500
Brad Morris,D,2012,MS,01,False,False,206061,205828,231,,29057,43575,9850,122578,1000,31250,300,6400
Danny Bedwell,L,2012,MS,01,False,False,3796,3422,781,,1571,2225,0,0,0,2000,0,0
Bennie G Thompson,D,2012,MS,02,True,True,1208368,1765172,1192548,,28704,291724,864628,0,23312,286828,4119,0
Cobby M Williams,I,2012,MS,02,False,False,20400,13989,0,,2210,8955,0,7835,1400,9655,0,0
Bill Marcy,R,2012,MS,02,False,False,18213,25927,3203,,6482,11550,0,0,181,0,0,11350
Gregg Harper,R,2012,MS,03,True,True,916616,654281,303466,,32351,453250,425600,0,5415,427550,8500,25900
Steven Palazzo,R,2012,MS,04,True,True,926893,710074,269796,,19150,474154,409636,0,23954,449184,4500,4150
Claire McCaskill,D,2012,MO,S2,True,True,21131810,21264093,19153,,4280597,11583006,3024462,130427,1776740,11353184,140930,291486
Todd Akin,R,2012,MO,S2,False,False,5676248,6165888,42486,,1789775,3293485,524610,25000,43377,2797878,29975,118895
William L Clay Jr.,D,2012,MO,01,True,True,866835,991857,118356,,28317,250417,587904,0,198,223729,4500,9400
Robyn Hamlin,R,2012,MO,01,False,False,12422,7908,2465,,0,9317,0,25,11735,0,0,1400
Ann Wagner,R,2012,MO,02,False,True,2705873,2500364,205510,,62206,1961197,677471,5000,0,2244139,1550,4500
Glenn Koenen,D,2012,MO,02,False,False,59565,59565,0,,4990,13925,0,40000,650,0,0,13275
Blaine Luetkemeyer,R,2012,MO,03,True,True,977424,647737,467430,,29198,323192,612735,0,12299,349741,1500,1500
Vicky Hartzler,R,2012,MO,04,True,True,1510603,1404888,128069,,64086,833270,546383,992,65873,902155,4500,21650
Teresa Hensley,D,2012,MO,04,False,False,834591,815362,19229,,117389,505076,204750,0,7376,478401,750,0
Emanuel Cleaver,D,2012,MO,05,True,True,1155849,1191843,133429,,65001,272252,813341,0,5255,243740,8550,1250
Jacob Turk,R,2012,MO,05,False,False,359522,369274,1781,,93243,266064,0,0,215,218873,1150,5250
Sam Graves,R,2012,MO,06,True,True,1357981,1132803,255140,,13557,286197,1057477,0,750,274202,0,0
Kyle Yarber,D,2012,MO,06,False,False,53607,53604,0,,5588,26950,0,15763,5306,23450,0,2500
Billy Long,R,2012,MO,07,True,True,924152,639660,314895,,23005,489335,394627,0,17186,457849,0,21250
Jim Evans,D,2012,MO,07,False,False,41029,43993,0,,10108,4626,0,24444,1850,2750,200,0
Jo Ann Emerson,R,2012,MO,08,True,True,1516761,1438336,86268,,0,547586,957975,0,11201,453600,6000,9800
Jack Rushin,D,2012,MO,08,False,False,24817,20788,4029,,5496,8200,4120,4000,3001,7650,0,0
Jon Tester,D,2012,MT,S1,True,True,13395779,13347866,59837,,1652728,8001430,2915318,0,697308,7267710,45925,55670
Denny Rehberg,R,2012,MT,S1,False,False,9560983,9526859,33743,,1370428,5279151,1584460,0,1326940,4992181,25605,437190
Steven Daines,R,2012,MT,01,False,True,1830491,2021596,15407,,206461,1103793,428708,66665,24863,867604,11400,135019
Kim Gillan,D,2012,MT,01,False,False,992911,991016,1895,,262198,525952,198969,352,5440,434124,4150,11350
Bob Kerrey,D,2012,NE,S1,False,False,5818391,6116555,160273,,755237,4130787,652240,0,280127,3283311,53780,150410
Deb Fischer,R,2012,NE,S1,False,True,5253975,5146461,107514,,961816,2854087,1149600,5000,283470,2639498,84850,138509
Russell Paul Anderson,I,2012,NE,S1,False,False,10500,5500,0,,0,0,0,5500,5000,0,0,0
Jeff Fortenberry,R,2012,NE,01,True,True,698414,381322,770947,,57589,373739,261450,0,5635,369379,2500,25300
Korey Lynn Reiman,D,2012,NE,01,False,False,30444,28743,1700,,12545,17899,900,0,8975,11449,750,3350
Lee Terry,R,2012,NE,02,True,True,2036017,2033246,20988,,84304,695757,1251325,0,4631,630536,500,29750
John Ewing,D,2012,NE,02,False,False,617755,585171,32579,,129459,369877,93405,25000,14,296866,2000,19180
Adrian Smith,R,2012,NE,03,True,True,1163154,705515,627791,,71142,341028,747145,0,3839,331586,1000,0
Mark Sullivan,D,2012,NE,03,False,False,38552,35860,2795,,12921,11064,0,14565,1,8464,0,1500
Dean Heller,R,2012,NV,S1,True,True,9417811,9192588,225225,,621634,4744912,2365003,0,1686258,5970536,12250,604578
Shelley Berkley,D,2012,NV,S1,False,False,10547188,11624756,15723,,1668316,6248096,1762156,249150,619465,5889661,23000,27550
Dina Titus,D,2012,NV,01,False,True,1273981,1219621,54360,,176106,542769,552480,0,2626,474814,5250,56000
Chris Edwards,R,2012,NV,01,False,False,93671,90116,3555,,10992,26679,4000,52000,0,4350,0,17100
Stan Vaughan,3,2012,NV,01,False,False,19200,19200,0,,0,7500,11700,0,0,7500,0,0
Mark Amodei,R,2012,NV,02,True,True,1313852,1129926,188551,,60229,555938,664646,0,33039,514156,9650,16750
Russell Best,3,2012,NV,02,False,False,7617,7617,0,,365,3400,3102,750,0,3400,0,0
Joe Heck,R,2012,NV,03,True,True,2423277,2346654,231236,,84834,1248791,1059604,825,29223,1425839,0,37865
John Oceguera,D,2012,NV,03,False,False,1534014,1530431,3583,,140306,789411,569551,0,34746,427648,500,6550
Steven Horsford,D,2012,NV,04,False,True,1718991,1705210,13781,,91601,868879,754367,855,3289,801698,5050,21560
Danny Tarkanian,R,2012,NV,04,False,False,1261004,1234212,28117,,47313,884044,293831,17039,18778,716695,3750,141236
Frank Guinta,R,2012,NH,01,True,False,1903770,1847673,34445,,69269,903870,870907,0,59724,846279,8750,46024
Carol Shea-Porter,D,2012,NH,01,False,True,1720667,1696703,24945,,487864,703146,500746,0,28911,482184,3000,6350
Charles Bass,R,2012,NH,02,True,False,2066088,2072141,25623,,52126,696255,1270635,0,47072,655581,16300,500
Ann Kuster,D,2012,NH,02,False,True,3161004,3173921,6804,,797842,1779331,555156,80,28595,1170799,4750,12350
Robert Menendez,D,2012,NJ,S1,True,True,17344783,16226545,1426897,,333832,11198658,3101634,0,839243,13066028,46200,404549
Joe Kyrillos,R,2012,NJ,S1,False,False,4635494,4559919,75573,,273076,4117869,226313,5000,13234,4063941,24550,1000
Kenneth Del Vecchio,L,2012,NJ,S1,False,False,2415,2414,0,,415,1000,0,1000,0,1000,0,0
Ken Kaplan,L,2012,NJ,S1,False,False,800,110,689,,0,0,0,0,800,0,0,0
Robert E Andrews,D,2012,NJ,01,True,True,1510757,1449947,491519,,0,768136,740857,87,1677,766373,2200,35612
Gregory W Horton,R,2012,NJ,01,False,False,12640,11671,298,,5170,6970,500,0,0,5700,0,1200
Frank LoBiondo,R,2012,NJ,02,True,True,1566500,1336918,690690,,39839,617192,772315,0,137154,579447,1000,22808
Cassandra Shober,D,2012,NJ,02,False,False,55144,47593,337,,17925,32995,1874,0,2350,29050,0,250
Charles Lukens,I,2012,NJ,02,False,False,3125,3125,0,,0,450,0,2675,0,400,0,0
Jon Runyan,R,2012,NJ,03,True,True,2080014,1999879,85515,,59322,845847,1093796,0,81049,797903,8600,26100
Shelley Adler,D,2012,NJ,03,False,False,1063623,1047627,15996,,149760,609014,297705,0,7145,542727,1750,4500
Chris Smith,R,2012,NJ,04,True,True,658474,622378,182496,,169200,282382,203786,0,3106,246430,0,2000
Brian Froelich,D,2012,NJ,04,False,False,79027,77855,0,,20954,43427,1250,13396,0,38561,0,0
Scott Garrett,R,2012,NJ,05,True,True,2392465,1105177,2148218,,141637,1183119,1009261,0,58448,1110388,2500,94485
Adam Gussen,D,2012,NJ,05,False,False,51444,51444,0,,9673,36122,5650,0,0,28178,1000,6350
Frank Pallone Jr.,D,2012,NJ,06,True,True,1868760,1593292,3406270,,34643,684948,1100000,0,49169,513232,500,3000
Anna Little,R,2012,NJ,06,False,False,576289,537778,45391,,412695,147394,15600,0,600,99552,9200,20800
Leonard Lance,R,2012,NJ,07,True,True,1321362,1334015,161505,,58351,563511,698878,442,180,535614,750,17070
Upendra J Chirukula,D,2012,NJ,07,False,False,968084,954470,58165,,121546,786113,53750,0,8676,688547,16301,73192
Albio Sires,D,2012,NJ,08,True,True,663827,660824,160022,,3775,328875,330577,0,600,301700,14250,0
Bill Pascrell Jr.,D,2012,NJ,09,True,True,2861095,3506000,356943,,75383,1483302,1189744,80000,32666,1347742,30050,125004
Shmuley Boteach,R,2012,NJ,09,False,False,317116,308781,8335,,22709,282407,12000,0,0,264840,9500,9750
E David Smith,I,2012,NJ,09,False,False,1183,1183,0,,141,1000,0,41,1,1000,0,0
Donald M Payne Jr.,D,2012,NJ,10,False,True,553327,524654,28673,,18423,230099,303155,0,1650,147183,1000,74650
Rodney Frelinghuysen,R,2012,NJ,11,True,True,1101628,1184498,242439,,32296,473645,586926,0,8760,440750,2800,20650
John Arvanites,D,2012,NJ,11,False,False,103637,99056,4581,,17892,78990,6755,0,0,70750,1100,750
Rush Holt,D,2012,NJ,12,True,True,2084904,1511880,769058,,289497,1143171,621640,0,30597,1006082,250,2400
Eric Beck,R,2012,NJ,12,False,False,129281,129281,0,,10105,46675,0,70000,2501,44900,0,0
Heather A Wilson,R,2012,NM,S1,False,False,7170513,7108688,61823,,753880,4792630,1298742,0,325255,4704920,35100,24200
Martin Heinrich,D,2012,NM,S1,False,True,6699291,6692326,61437,,1034006,4289963,1171011,0,204307,3207316,24000,18050
Jon Barrie,I,2012,NM,S1,False,False,37883,26483,-2201,,4743,4184,0,28954,2,0,0,0
Michelle Lujan Grisham,D,2012,NM,01,False,True,1754730,1745037,9693,,253042,917392,513964,31000,39332,749299,9200,10100
Janice E Arnold-Jones,R,2012,NM,01,False,False,573425,573425,0,,121174,414318,37000,325,608,381153,7250,6400
Steve Pearce,R,2012,NM,02,True,True,1687075,1121521,598927,,114311,1104317,440056,0,28391,1062894,1500,0
Evelyn Erhard,D,2012,NM,02,False,False,85256,80075,5181,,41686,36310,7106,54,100,21325,0,7750
Ben Ray Lujan,D,2012,NM,03,True,True,1102858,741285,314480,,52908,465272,583869,0,809,236202,2500,250
Jeff Byrd,R,2012,NM,03,False,False,94587,94922,165,,19039,44291,0,20812,10445,29221,2500,3550
Kirsten Gillibrand,D,2012,NY,S1,True,True,15735457,14257872,1973971,,1323908,11359814,2501813,0,549916,23850711,97939,409582
Wendy Long,R,2012,NY,S1,False,False,784778,742747,42029,,100592,630761,29250,0,24175,338692,8000,367204
John Mangelli,I,2012,NY,S1,False,False,33575,32936,637,,875,700,0,32000,0,700,0,0
Chris Edes,L,2012,NY,S1,False,False,3298,3245,52,,2798,450,0,50,0,250,0,0
Eric Sundwall,L,2012,NY,S1,False,False,2196,2197,0,,331,1500,0,364,1,1500,0,0
Timothy H Bishop,D,2012,NY,01,True,True,2731218,3031036,6969,,275324,1329094,1068236,0,58564,1240006,16000,9075
Randy Altschuler,R,2012,NY,01,False,False,2276790,2285150,927,,56779,1712278,302994,128570,76169,1700448,24000,7500
Pete King,R,2012,NY,02,True,True,1812860,1201207,2428105,,138864,951091,705963,0,16942,888035,5000,7800
Vivanne Falcone,D,2012,NY,02,False,False,11679,11115,-30,,3977,4050,2649,0,1003,3750,0,300
Steve Israel,D,2012,NY,03,True,True,3186021,3169049,336024,,37601,2032577,1095074,268,20501,1964911,11000,41300
Stephen A Labate,R,2012,NY,03,False,False,284948,291799,3004,,57663,215385,7300,4000,600,174644,1050,11265
Carolyn McCarthy,D,2012,NY,04,True,True,2278000,1860331,564947,,718316,730071,823663,0,5950,492493,4500,46651
Frank Scaturro,R,2012,NY,04,False,False,177582,169000,8128,,40048,122630,600,13000,1304,98044,1250,17900
Francis X Becker Jr.,R,2012,NY,04,False,False,154406,155853,2914,,52071,79045,850,22440,0,79354,500,9200
Gregory W Meeks,D,2012,NY,05,True,True,740897,724665,30052,,2185,180730,557790,0,192,177029,0,4000
Allan Jennings,R,2012,NY,05,False,False,16812,16352,460,,1099,15500,0,0,213,5500,0,0
Grace Meng,D,2012,NY,06,False,True,1730611,1666012,64599,,96270,1280210,259050,95000,81,1157230,8088,28445
Daniel J Halloran,R,2012,NY,06,False,False,181117,180572,545,,20887,149580,7850,2000,800,143060,0,1800
Evergreen C Chou,3,2012,NY,06,False,False,225,152,249,,225,0,0,0,0,0,0,0
Nydia Velazquez,D,2012,NY,07,True,True,674524,1285102,216264,,21818,146941,493750,0,12015,139265,0,500
Hakeem Jeffries,D,2012,NY,08,False,True,1405685,1361037,44651,,69312,1114056,221000,0,1316,1013988,25800,20269
Colin Beavan,3,2012,NY,08,False,False,7633,7436,197,,4723,1410,1000,500,0,1409,0,0
Yvette D Clarke,D,2012,NY,09,True,True,743730,771480,29835,,57840,288672,391780,0,5439,261678,1200,12810
Jerrold Nadler,D,2012,NY,10,True,True,1125304,1471936,454297,,27109,718126,368930,0,11139,701410,4550,1750
Michael Grimm,R,2012,NY,11,True,True,2263994,2204598,88588,,54374,900902,1182768,0,125949,929626,6650,63064
Mark Murphy,D,2012,NY,11,False,False,928666,917398,11268,,87474,623555,188703,0,28934,570620,1500,5017
Carolyn B Maloney,D,2012,NY,12,True,True,1746929,1862565,512197,,38607,997104,709670,0,1548,934554,8300,18650
Christopher Wight,R,2012,NY,12,False,False,116046,111224,4823,,14452,86583,1000,12822,1189,62972,1750,19950
Charles B Rangel,D,2012,NY,13,True,True,1461286,1553263,5033,,82257,899741,459942,0,19346,862138,4000,28225
Joseph Crowley,D,2012,NY,14,True,True,2577592,2722991,788652,,28405,873495,1626418,0,49273,899877,2500,0
Jose E Serrano,D,2012,NY,15,True,True,212068,209532,16718,,2318,32000,177750,0,0,21800,0,0
Eliot Engel,D,2012,NY,16,True,True,1062606,1182937,51286,,15937,582749,463620,0,300,549481,8250,11250
Joseph McLaughlin,R,2012,NY,16,False,False,3350,989,2361,,100,3250,0,0,0,2250,0,0
Nita M Lowey,D,2012,NY,17,True,True,2165669,2491789,417574,,83740,1702247,339719,0,39963,1597885,29000,53651
Joseph Carvin,R,2012,NY,17,False,False,560104,551422,8682,,18391,272810,3500,263000,2403,262759,1250,0
Nan Hayworth,R,2012,NY,18,True,False,3255563,3254072,54522,,113322,1495434,1441628,110033,95146,1575300,1750,45550
Sean Patrick Maloney,D,2012,NY,18,False,True,2257171,2246008,11163,,225765,1619329,383275,1920,26882,1503822,3250,12500
Chris Gibson,R,2012,NY,19,True,True,2177705,2153689,15016,,121902,821905,1097809,0,136089,869381,7710,3700
Julian D Schreibman,D,2012,NY,19,False,False,1358529,1331223,27306,,206498,725648,306152,100000,20230,669579,500,1500
Paul Tonko,D,2012,NY,20,True,True,974899,820271,314525,,104706,322599,546082,0,1513,284402,300,3000
Bob Dieterich,R,2012,NY,20,False,False,238450,238450,0,,43211,153142,21829,19836,433,132925,950,0
Matt Doheny,R,2012,NY,21,False,False,2449690,2445626,12169,,40075,738711,181599,1435000,54305,726827,5000,0
Bill Owens,D,2012,NY,21,True,True,1968478,1939276,15447,,99551,698310,1091827,0,78789,645367,4250,13550
Richard Hanna,R,2012,NY,22,True,True,1071315,854032,37025,,60823,357973,574778,0,77740,370678,1250,42440
Dan Lamb,D,2012,NY,22,False,False,337979,333656,4631,,95615,183680,58675,0,9,147957,1750,2000
Tom Reed,R,2012,NY,23,True,True,2107794,2006454,115518,,78585,772158,1129655,0,127396,820556,250,1750
Nathan Shinagawa,D,2012,NY,23,False,False,829456,828811,645,,203703,476209,127917,12645,8982,331858,2500,6250
Dan Maffei,D,2012,NY,24,False,True,2032959,2047007,59852,,192447,1087115,664710,0,88688,1006094,2500,37121
Ann Marie Buerkle,R,2012,NY,24,True,False,2021185,2059235,25614,,219832,873586,811839,0,115928,867691,12150,15842
Ursula E Rozum,3,2012,NY,24,False,False,16600,15991,-1129,,6455,9145,0,0,1000,1000,500,7495
Louise M Slaughter,D,2012,NY,25,True,True,2278709,2469257,24827,,502199,681664,1069091,0,25755,476624,5000,20400
Maggie Brooks,R,2012,NY,25,False,False,1464442,1447864,16578,,89603,1097203,255550,0,22086,1060423,500,1250
Brian M Higgins,D,2012,NY,26,True,True,1091162,1031410,429443,,67544,586238,429649,0,7732,490462,250,61375
Mike Madigan,R,2012,NY,26,False,False,66087,68557,385,,1267,15937,1200,29770,17913,15140,300,0
Kathleen Hochul,D,2012,NY,27,True,False,4602796,4602796,0,,882630,2193251,1136747,351800,38368,1575182,5700,70875
Chris Collins,R,2012,NY,27,False,True,1327521,1312830,16018,,0,431624,295133,542000,58764,390960,2000,19300
G K Butterfield,D,2012,NC,01,True,True,901274,836322,238368,,35426,223764,634929,0,7155,170030,2500,10720
Renee Ellmers,R,2012,NC,02,True,True,1086870,1190907,127731,,106653,349274,597024,0,33919,395237,250,12700
Steve Wilkins,D,2012,NC,02,False,False,86555,84862,1693,,35116,41476,1500,5314,3150,32715,300,4450
Walter B Jones Jr.,R,2012,NC,03,True,True,716405,745971,98133,,71365,283076,357350,0,4614,273210,4700,550
Erik Anderson,D,2012,NC,03,False,False,30384,30384,0,,11344,9639,0,6741,2660,8387,0,250
David Price,D,2012,NC,04,True,True,1141280,1085727,65647,,153483,461204,523850,302,2441,423242,250,2000
Tim D'Annunzio,R,2012,NC,04,False,False,614109,613740,369,,4304,12900,150,595440,1315,12545,0,0
Virginia Foxx,R,2012,NC,05,True,True,972460,721824,1455074,,104565,546646,311373,0,9876,521895,750,0
Elisabeth Motsinger,D,2012,NC,05,False,False,133268,130813,2455,,60374,66570,335,290,5699,35850,1000,5850
Howard Coble,R,2012,NC,06,True,True,531611,639503,78560,,31169,123554,366819,0,10069,123615,0,500
Tony Foriest,D,2012,NC,06,False,False,46219,36340,9779,,14334,12585,1000,15000,3300,11950,0,0
Mike McIntyre,D,2012,NC,07,True,True,2304496,2253834,85818,,56025,860887,1294261,0,93324,838044,8500,0
David Rouzer,R,2012,NC,07,False,False,1484066,1471357,12709,,71610,980860,361615,25175,44807,996331,1750,550
Larry Kissell,D,2012,NC,08,True,False,1303395,1308675,4555,,61113,406314,824750,0,11218,309970,2500,5250
Richard Hudson,R,2012,NC,08,False,True,1518469,1443064,75405,,62890,659079,773592,0,22907,620435,15750,250
Robert Pittenger,R,2012,NC,09,False,True,3310422,3307264,3158,,38631,671202,226906,2310735,62948,622776,250,52760
Jennifer Roberts,D,2012,NC,09,False,False,599757,599487,269,,105205,476624,10750,0,7178,449270,1000,3800
Patrick McHenry,R,2012,NC,10,True,True,1257013,1127555,154216,,31196,547993,677063,0,762,471156,12500,46900
Patsy Keever,D,2012,NC,10,False,False,428274,419465,8808,,168051,227060,30612,50,2500,180737,2050,4700
Mark Meadows,R,2012,NC,11,False,True,1107284,1092850,14434,,52281,502585,273600,261198,17620,498124,2250,0
Hayden Rogers,D,2012,NC,11,False,False,749098,725988,23110,,53469,426684,266852,0,2092,384838,500,24700
Melvin L Watt,D,2012,NC,12,True,True,852387,857241,102691,,6239,90700,738134,0,17314,76500,0,10350
Jack Brosch,R,2012,NC,12,False,False,15678,16221,189,,2087,0,0,13500,91,0,0,0
George Holding,R,2012,NC,13,False,True,1685833,1673724,12109,,108635,952094,288752,319265,17087,955733,19259,6500
Charles Malone,D,2012,NC,13,False,False,18132,18132,0,,6961,8125,0,2047,1000,6750,0,0
Rick Berg,R,2012,ND,S2,False,False,6502926,6344251,158673,,304142,3646194,1695865,0,856722,4789557,30250,84849
Heidi Heitkamp,D,2012,ND,S2,False,True,5638438,5493544,144895,,1392385,2603411,1043745,9417,589475,2505111,10783,24198
Kevin Cramer,R,2012,ND,01,False,True,1325479,1291733,33746,,84373,897359,333050,0,10697,869578,10300,30450
Pam Gulleson,D,2012,ND,01,False,False,1023931,1019197,4734,,239630,426364,320311,36611,1014,349523,500,200
Sherrod Brown,D,2012,OH,S1,True,True,24840222,24576288,551089,,7169781,12133129,3199343,335,1221812,12507975,20000,140723
Josh Mandel,R,2012,OH,S1,False,False,18912557,18868809,43698,,4041294,10650105,1248185,0,2869478,9033045,104089,631090
Scott Rupert,I,2012,OH,S1,False,False,5379,6337,61,,1626,3114,0,639,1047,600,0,0
Steve Chabot,R,2012,OH,01,True,True,1068816,737764,338580,,58955,568794,437338,0,3729,517050,250,43300
Brad Wenstrup,R,2012,OH,02,False,True,998233,892990,105243,,78026,590079,273450,52500,4178,572861,2500,2700
Joyce Beatty,D,2012,OH,03,False,True,812493,729107,83387,,25,377343,407625,0,27500,252953,450,700
Chris Long,R,2012,OH,03,False,False,25451,25233,218,,5415,11710,1301,7000,25,11035,0,0
Jim Jordan,R,2012,OH,04,True,True,1078119,839919,1081890,,91031,477789,496875,0,12424,473593,250,250
Jim Slone,D,2012,OH,04,False,False,34167,27736,4353,,10321,7174,11983,736,3952,5225,0,0
